"time","auc_roc","auc_emp","ci_roc_lower","ci_emp_lower","ci_roc_upper","ci_emp_upper","brier_dist","brier_pooled","n1","n2","n3","n4","n5","calibration_preds","calibration_truths","calibration_n","calibration_nas"
"2023-06-05 14:08:42.603009",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-05-29 13:59:40.020873",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-05-22 14:10:28.887101",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-05-15 14:09:27.429082",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-05-08 14:01:00.843726",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-04-24 14:10:58.21366",0.687451222208746,0.691852678571429,0.605064939587459,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-04-17 14:01:29",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-04-03 14:07:39",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-03-20 14:06:57",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
"2023-03-13 14:04:25",0.687451222208746,0.691852678571429,0.60506493958746,0.613149626392989,0.759482827300928,0.760790648526349,0.173321725275562,0.173321725275562,56,49,60,49,60,"0.055730039844286 - 0.151586390011637 - 0.248952572215245 - 0.2332631687941 - 0.280373535843608 - 0.468860898437471 - 0.590421291162716 - 0 - NaN - NaN","0.0701754385964912 - 0.196428571428571 - 0.226415094339623 - 0.2 - 0.125 - 0.333333333333333 - 0.464285714285714 - 0 - NaN - NaN","57 - 56 - 53 - 15 - 24 - 27 - 28 - 2 - 0 - 0","0/57 - 0/56 - 0/53 - 5/15 - 9/24 - 4/27 - 2/28 - 2/2 - NaN/0 - NaN/0"
